Title,Abstract,Tag,Type
 Incidence of new onset bundle branch block and atrial fibrillation in patientswith type 2 diabetes and macrovascular disease: an analysis of the PROactivestudy. ,"Aim of this study was to examine the incidence of new onset ECG abnormalities AF, right bundle branch block (RBBB), left bundle branch block (LBBB) and LAD in patients with diabetes mellitus and macrovascular disease participating in the PROactive trial.                           

In conclusion, we demonstrate that new onset of AF, BBB and LAD is not uncommon in diabetic patients with macrovascular disease. Given the strong prognostic impact of these ECG abnormalities and substantial therapeutic consequences, our findings highlight the need to regularly assess ECG in this patient population to detect individuals at high risk of cardiovascular events.",no,old
 Thiazolidinediones can prevent new onset atrial fibrillation in patients withnon-insulin dependent diabetes. ," BACKGROUND: Accumulative evidence suggested that oxidative stress andinflammation were involved in the pathogenesis of atrial fibrillation (AF).Thiazolidinediones (TZDs), agonists of peroxisome proliferator-activated receptorgamma (PPAR-gamma), have been proven to have anti-inflammatory and anti-oxidanteffects in addition to their anti-diabetic activity. The goal of this nationwide,population based cohort study was to evaluate whether the use of TZDs willprotect diabetic patients from AF. METHODS: The study population was comprised of12,065 non-insulin dependent diabetic patients identified from the ""NationalHealth Insurance Research Database"" released by the Taiwan National HealthResearch Institutes. Among the study patients, a total of 4137 patients with TZDuse were recognized as the study cohort and 7928 patients without TZD use wereincluded as the comparison cohort. The study endpoint was defined as AFoccurrence during the follow up period. RESULTS: During the follow up of 63 +/-25 months, 194 patients (1.6% of the study population) developed AF: 49 from thestudy cohort (1.2% of the TZD group) and 145 from the comparison cohort (1.8% ofthe non-TZD group). After an adjustment for the baseline characteristics andmedications, the TZDs independently protected diabetic patients from new-onset AFwith a hazard ratio of 0.69 (95% confidence interval=0.49-0.91, p value=0.028).CONCLUSION: In this cohort study, we demonstrated that TZDs had obviousprotective effects on the development of AF in diabetic patients. Drugs acting asligands to the PPAR-gamma may be potential up-stream therapies for AF prevention. ",no,old
" Half of all atrial fibrillation due to avoidable risk factors. Managing weight,diabetes, blood pressure and other factors can greatly reduce your odds ofdeveloping an arrhythmia. ","We provide a list of the 392 described species of Staphylinidae confined to coastal habitats worldwide. The list is in taxonomic sequence by subfamily, tribe, and genus and includes 91 genera. We provide the page reference of the original description of every species and genus listed and of many synonyms. We note the existence of recent reviews, phylogenies and keys of each of the tribes and genera included. Coastal Staphylinidae contain eight subfamilies: Microsilphinae, Omaliinae, Pselaphinae, Aleocharinae, Oxytelinae, Scydmaeninae, Paederinae, and Staphylininae.By 'coastal habitats' we mean habitats existing on the sea coast and subject to inundation or at least splashing by the very highest tides. This includes rocky, boulder, coral, sandy, and muddy seashores, and at least portions of salt-marshes, estuaries, and mangrove swamps. We exclude the sand dune habitat and higher parts of sea-cliffs.The list notes distribution of all the species, first according to the ocean or sea on whose shores it has been recorded, and second by country (and for the larger countries by province or state). Although this distribution is undoubtedly incomplete, it provides a basis for future development of a dedicated database.The 'Habitats, Habits, and Classificatory Notes' section is designed to provide ecologists with further taxonomic and ecological information. It includes references to descriptions of the immature stages, behavior of adults and immatures, their food, natural enemies, and habitat. We would have preferred to separate these entities, but current knowledge of ecology is developed in few instances beyond natural history.The Pacific Ocean basin was the origin and contributed to the dispersal of the majority of specialist coastal Staphylinidae at the level of genus. However, at the level of species, species belonging to non-coastal-specialist genera are about as likely to occur on the shores of other oceans as on the shores of the Pacific. This difference is a reflection of the antiquity of coastal genera and species.A complete bibliography, and habitat and habitus photographs of some representative coastal Staphylinidae species are provided.",no,old
 Beneficial effect of pioglitazone on the outcome of catheter ablation in patientswith paroxysmal atrial fibrillation and type 2 diabetes mellitus. ," AIMS: Pioglitazone, one of the peroxisome proliferator-activated receptor-gammaactivators, possesses anti-inflammatory and antioxidant properties. In thepresent study, we sought to identify the impact of pioglitazone on the outcome ofcatheter ablation for paroxysmal atrial fibrillation (PAF). METHODS AND RESULTS:We conducted a prospective observational cohort study of 150 consecutive patientsundergoing catheter ablation of drug-refractory PAF. All patients had a historyof type 2 diabetes mellitus (T2DM) and were divided based on whether theyreceived pioglitazone before ablation or not. After grouping, 51 patients treatedwith pioglitazone and 99 control subjects were followed up at least 15 monthsafter ablation. After a single ablation, sinus rhythm was maintained in 44patients (86.3%) of the pioglitazone group vs. 70 patients (70.7%) of the controlgroup (P = 0.034) without antiarrhythmic drug during a mean follow-up of 22.9 +/-5.1 months. The second ablation was performed in 5 patients (9.8%) from thepioglitazone group and in 24 patients (24.2%) from the control group (P = 0.034).Multivariate logistic analysis showed left atrium diameter was associated with ahigh risk of atrial tachyarrhythmias recurrence, and treatment withrenin-angiotensin system inhibitor as well as pioglitazone was associated with areduced atrial tachyarrhythmias recurrence rate. CONCLUSION: Pioglitazoneimproved the preservation of sinus rhythm and reduced the reablation rate inpatients with PAF and T2DM after catheter ablation. ",no,old
 Atrial substrate properties and outcome of catheter ablation in patients withparoxysmal atrial fibrillation associated with diabetes mellitus or impairedfasting glucose. ," Diabetes mellitus has been reported to be an independent risk factor of atrialfibrillation (AF). The present study investigated the atrial substrate propertiesand clinical outcome of catheter ablation in patients with paroxysmal AF andabnormal glucose metabolism. A total of 228 patients with paroxysmal AF who hadundergone catheter ablation for the first time were enrolled. An abnormal glucosemetabolism (n = 65) was defined as diabetes mellitus or an impaired fastingglucose. We analyzed the clinical and electrophysiologic characteristics in, andthe clinical outcome of, patients with AF with and without an abnormal glucosemetabolism. The right atrial (107.2 +/- 15.4 vs 96.0 +/- 16.5 ms, p < 0.001) andleft atrial (108.4 +/- 22.3 vs 94.0 +/- 17.5 ms, p < 0.001) total activationtimes were significantly longer in the patients with AF and an abnormal glucosemetabolism than in those without an abnormal metabolism. Furthermore, the rightatrial (1.46 +/- 0.61 vs 2.00 +/- 0.70 mV, p < 0.001) and left atrial (1.48 +/-0.74 vs 2.05 +/- 0.78 mV, p < 0.001) bipolar voltages were significantly lower inthose with AF and an abnormal glucose metabolism than in those without. The AFrecurrence rate was also greater in the patients with an abnormal glucosemetabolism (18.5% vs 8.0%, p = 0.022) than in those without. The follow-upduration was 18.8 +/- 6.4 months. In conclusion, an abnormal glucose metabolismaffects the biatrial substrate properties with an intra-atrial conduction delay,decreased voltage, and greater recurrence rate after catheter ablation. ",no,old
" ONTARGET, TRANSCEND, and PRoFESS: new-onset diabetes, atrial fibrillation, andleft ventricular hypertrophy. "," Prevention of diabetes represents an important therapeutic goal in currentcardiovascular risk reduction strategies. Blockade of the renin-angiotensinsystem has been shown to markedly reduce the incidence of new-onset diabetes indifferent patient populations. Recent results from three large clinical endpointtrials with the angiotensin-II receptor blocker telmisartan regarding new-onsetdiabetes, atrial fibrillation, and left ventricular hypotrophy will be discussed. ",no,old
 Risks of cardiovascular events and effects of routine blood pressure loweringamong patients with type 2 diabetes and atrial fibrillation: results of theADVANCE study. ," AIMS: The aim of this study was to investigate serious clinical outcomesassociated with atrial fibrillation (AF) and the effects of routine bloodpressure lowering on such outcomes in the presence or absence of AF, amongindividuals with type 2 diabetes. METHODS AND RESULTS: About 11 140 patients withtype 2 diabetes (7.6% of whom had AF at baseline) were randomized to a fixedcombination of perindopril and indapamide or placebo in the Action in Diabetesand Vascular Disease: preterAx and diamicroN-MR Controlled Evaluation (ADVANCE)study. We compared total mortality and cardiovascular disease outcomes andeffects of randomized treatment for 4.3 years on such outcomes between patientswith and without AF at baseline. After multiple adjustments, AF was associatedwith a 61% (95% confidence interval 31-96, P < 0.0001) greater risk of all-causemortality and comparable higher risks of cardiovascular death, stroke, and heartfailure (all P < 0.001). Routine treatment with a fixed combination ofperindopril and indapamide produced similar relative, but greater absolute, riskreductions for all-cause and cardiovascular mortalities in patients with AF,compared with those without AF. The number of patients needed to be treated withperindopril-indapamide for 5 years to prevent one cardiovascular death was 42 forpatients with AF and 120 for patients without AF at baseline. CONCLUSION: Atrialfibrillation is relatively common in type 2 diabetes and is associated withsubstantially increased risks of death and cardiovascular events in patients withtype 2 diabetes. This arrhythmia identifies individuals who are likely to obtaingreater absolute benefits from blood pressure-lowering treatment. Atrialfibrillation in diabetic patients should be regarded as a marker of particularlyadverse outcome and prompt aggressive management of all risk factors. ",no,old
 Catheter ablation of atrial fibrillation in patients with diabetes mellitus type2: results from a randomized study comparing pulmonary vein isolation versusantiarrhythmic drug therapy. ," INTRODUCTION: Atrial fibrillation (AF) and diabetes mellitus type 2 (DM2) oftencoexist; however, a small number of patients with DM2 undergoing catheterablation (CA) of AF have been included in previous studies. The aim of this studywas to evaluate safety and efficacy of ablation therapy in DM2 patients with drugrefractory AF. METHODS AND RESULTS: From January 2005 to September 2006, 70patients with a diagnosis of DM2 and paroxysmal (n = 29) or persistent (n = 41)AF were randomized to receive either pulmonary vein isolation or a newantiarrhythmic drug treatment (ADT) with a 1-year follow-up. The primary endpointwas the time to first AF recurrence. By Kaplan-Meier analysis, at the end offollow-up, 42.9% of patients in the ADT group and 80% of patients who received asingle ablation procedure and were without medications were free of AF (P =0.001). In the ablation group, a significant improvement in quality-of-life (QoL)scores as compared with ADT group was observed. Six patients in the ADT group(17.1%) developed significant adverse drug effects. Hospitalization rate duringfollow-up was higher in the ADT group (P = 0.01). The only complicationattributable to ablation was one significant access-site hematoma. CONCLUSION: Inpatients with DM2, CA of AF provides significant clinical benefits over the ADTand appears to be a reasonable approach regarding feasibility, effectiveness, andlow procedural risk. ",no,old
" Chronic atrial fibrillation: Incidence, prevalence, and prediction of strokeusing the Congestive heart failure, Hypertension, Age >75, Diabetes mellitus, andprior Stroke or transient ischemic attack (CHADS2) risk stratification scheme. "," BACKGROUND: The aim of the study is to estimate the incidence and prevalence ofchronic AF (cAF) in the United Kingdom and test the accuracy of the CHADS2 scorefor stroke prediction. METHODS: The General Practice Research Database was usedto identify patients aged 40+ years diagnosed with cAF and control patients.Harrell's C-statistic was used to test possible improvements in CHADS2. RESULTS:The study population included 51,807 cAF patients. The incidence of cAF increasedby age and was higher in men than women. The prevalence of cAF has increased overtime. The excess 5-year risk for stroke in cAF patients correlated well withCHADS2 as follows: score 0, 1.9% (95% CI 1.6-2.1); 1, 3.0% (95% CI 2.7-3.3); 2,4.7% (95% CI 4.3-5.1); 3, 7.2% (95% CI 6.6-7.9); 4, 10.5% (95% CI 9.4-11.5); 5,13.9% (95% CI 12.2-15.5); and 6, 15.8% (95% CI 13.5-18.1). Adding sex, theextension of age categories and reweighing of established risk factors improvedCHADS2 accuracy (C-statistic 0.68-0.72). Applying the reclassification resultedin a substantial number of patients changing stroke risk category. CONCLUSION:Atrial fibrillation is a prevalent and growing problem, which significantlyincreases the risk of ischemic stroke. The CHADS2 score is a good predictor ofthe stroke risk but could be improved. ",no,old
 Inflammation: another potential mechanism between diabetes mellitus and atrialfibrillation. ,"We would like to provide another potential mechanism in this setting. It has been demonstrated recently that inflammatory response may underlie pathologic processes of DM.2 Inflammatory biomarkers such as C-reactive protein, tumor necrosis factor–?, and interleukin-6 and interleukin-8 are elevated in patients with DM.2 These proinflammatory cytokines may also act on the pancreatic islets and induce progressive ?-cell failure, which is the most important mechanism for the development of DM.3 Recent studies have also suggested that exercise and lifestyle changes could reduce the incidence of DM and inflammation.2 However, recent studies have demonstrated the possible implication of inflammation and oxidative stress in the pathogenesis of AF.4, 5 and 6 Our previous studies have also shown that increased baseline C-reactive protein levels are associated with greater risk for immediate failure of electrical cardioversion4 and AF recurrence after successful electrical cardioversion.6 Also, several non-channel-blocking drugs with anti-inflammatory properties have shown beneficial effects in AF. These include inhibitors of the renin-angiotensin system, statins, corticosteroids, omega-3 fatty acids, vitamin C, thiazolidinediones, and others.7, 8, 9 and 10 Therefore, we presume that DM-related inflammation might contribute to the development of AF.",no,old
 Comparative evaluation of effect of valsartan/amlodipine and atenolol/amlodipinecombinations on atrial fibrillation recurrence in hypertensive patients with type2 diabetes mellitus. ," The aim of this study was to compare the effect of valsartan/amlodipine andatenolol/amlodipine combination in preventing the recurrence of atrialfibrillation (AF) in hypertensive diabetic patients with a history of recentparoxysmal atrial fibrillation. Two hundred ninety-six hypertensive patients withwell-controlled type 2 diabetes in sinus rhythm but with at least 2ECG-documented episodes of AF in the previous 6 months were randomized to 160 mgof valsartan plus amlodipine (titrated from 2.5 to 10 mg) or to 100 mg ofatenolol plus amlodipine (2.5 to 10 mg) in addition to their previousantiarrhythmic treatment (if any) and were followed up for 1 year. Blood pressure(BP) and a 24-hour ECG were evaluated monthly. The patients were asked to reportany episode of symptomatic AF and to perform an ECG as early as possible. SBP/DBPvalues were significantly reduced after 12 months with valsartan/amlodipine (from150.4/93.5 to 126.37/7.4 mm Hg, P < 0.001) and atenolol/amlodipine (from151.1/94.2 to 127.1/77.9 mm Hg, P < 0.001), with no difference between the 2regimens. At least 1 ECG-documented episode of AF was reported in 20.3% of thepatients treated with valsartan/amlodipine and in 34.1% of those treated withatenolol/amlodipine, with a significant difference between treatments (P < 0.01).The positive effect of valsartan/amlodipine combination on AF recurrence was moreevident in patients treated with amiodarone or propafenone than in patientstreated with other antiarrhythmic drugs or without antiarrhythmic treatment.Despite similar BP reduction, valsartan/amlodipine combination was more effectivein patients treated with amiodarone or propafenone than atenolol/amlodipine inpreventing new episodes of AF in hypertensive diabetic patients. ",no,old
 Influence of diabetes on the maintenance of sinus rhythm after a successfuldirect current cardioversion in patients with atrial fibrillation. ," AIM: To determine independent risk factors for recurrence of atrial fibrillation(AF) after a successful direct current (DC) cardioversion in patients with andwithout diabetes. DESIGN: We retrospectively analysed the outcome in patientsrecently diagnosed with persistent AF. METHODS: Of 364 patients included, 289 hada successful direct current (DC) cardioversion. We compared 42 (14.5%) patientsknown to have diabetes to 247 (85.5%) without. Patients were reviewed inoutpatient clinic with assessment of heart rhythm clinically and byelectrocardiogram. Median follow-up after DC cardioversion was 74 days[interquartile range (IQR) 69-78 days]. RESULTS: When reviewed in outpatientclinic, only 63.7% (185 of 289) were still in sinus rhythm (SR). Of the groupwithout diabetes, 66.8% (165 of 247) remained in SR vs. 45.2% (19 of 42) of thegroup with diabetes (P = 0.005). Binary logistic regression analysis showedduration of AF (P < 0.0001) and the presence of diabetes (P = 0.019) have beenindependent risk factors for recurrence of AF. DISCUSSION: Presence of diabetesand the longer duration of AF were independent risk factors for the recurrence ofAF after a successful DC cardioversion. ",no,old
 Safety and efficacy of catheter ablation of atrial fibrillation in patients withdiabetes mellitus--single center experience. ," BACKGROUND AND OBJECTIVE: Little is known about the outcome of catheter ablationof atrial fibrillation (AF) in patients with diabetes mellitus (DM). Weinvestigated the safety and efficacy of catheter ablation of AF in patients withDM. MATERIALS AND METHODS: Thirty one patients with DM from a group of 263consecutive patients undergoing a first-time catheter ablation of AF procedurewere enrolled in a prospective study. The ablation protocol (guided by CARTOsystem) consisted in two continuous circular lesions around ipsilateral pulmonaryveins. RESULTS: The following clinical characteristics differed between DM andno-DM patients: age (62.0 +/- 10.8 vs. 56.1 +/- 10.6 years, P = 0.004), longer AFhistory (9.6 +/- 9.3 vs. 6.7 +/- 6.3 years, P = 0.024), significantly larger leftatrium size (41.1 +/- 7.8 vs. 38.3 +/- 5.8 mm, P = 0.021), hypertension (58.1 vs.35.8%, P = 0.018) and structural heart disease (67.7 vs. 43.5%, P = 0.011).Despite a similar AF recurrence rate in DM and no-DM patients (32.3 vs. 22.4%, P= 0.240), the ablation procedure was complicated in 28 patients (11 hematomas,three cardiac tamponades and three strokes) and the incidence of complicationswas significantly higher in DM than in no-DM patients (29.0 vs. 8.2%,respectively, P = 0.002). Multivariate analysis showed that DM was an independentrisk factor for complications occurrence (odd ratio 5.936, 95% confidenceinterval 2.059 to 17.112, P = 0.001). CONCLUSIONS: First catheter ablation of AFprocedure in DM patients was equally efficacious than in no-DM patients. However,DM patients had a higher incidence of complications, mostly thrombotic orhemorrhagic. ",no,old
 Effects of cardioversion of atrial fibrillation on endothelial function inhypertension or diabetes. ," BACKGROUND: Cardioversion (CV) to sinus rhythm corrects endothelial dysfunctionsecondary to atrial fibrillation (AF). As AF often complicates hypertension anddiabetes (disorders associated with impaired endothelial function) the studyprobed whether these comorbidities to AF produced an additive effect and to whatextent CV might be advantageous. MATERIALS AND METHODS: Brachial arteryflow-mediated dilatation (FMD) was evaluated before and after CV in 17 lone AFpatients (group 1), 16 patients with AF + hypertension (group 2) and 17 patientswith AF + diabetes type II (group 3), while in supine and head-up tilting (HUT)positions, as this is when endothelial vasodilation is emphasized as acounterbalance to neurogenic vasoconstriction. RESULTS: After 2 weeks, CV ingroup 1 increased (P < 0.01) supine FMD (from 7.22-->9.50%) and restored its HUTpotentiation (from 9.31-->17.22%). In group 2, FMD also improved significantlywith CV (supine from 4.92-->7.11% and HUT from 5.29-->11.83%; P < 0.01). In group3, CV did not promote significant FMD changes (supine from 5.12-->4.92% and HUTfrom 4.98-->4.73%). After 3 months, FMD improvement persisted in groups 1 and 2with enduring sinus rhythm, but not in those with AF relapse. In group 3, FMDremained unchanged regardless of cardiac rhythm. CONCLUSIONS: Cardioversionpersistently increases supine shear stress endothelial responsiveness andrestores the orthostatic modulation in AF alone or in association withhypertension, but not with diabetes. Differences in background endothelialimpairment may explain the presence (hypertension) or the absence (diabetes) ofan additive AF effect in comorbidities, as well as CV results. ",no,old
 Endothelial dysfunction and exercise performance in lone atrial fibrillation orassociated with hypertension or diabetes: different results with cardioversion. ," Endothelial dysfunction and underperfusion of exercising muscle contribute toexercise intolerance, hyperventilation, and breathlessness in atrial fibrillation(AF). Cardioversion (CV) improves endothelial function and exercise performance.We examined whether CV is equally beneficial in diabetes and hypertension,diseases that cause endothelial dysfunction and are often associated with AF.Cardiopulmonary exercise and pulmonary and endothelial (brachial arteryflow-mediated dilation) function were tested before and after CV in patients withAF alone (n = 18, group 1) or AF with hypertension (n = 19, group 2) or diabetes(n = 19, group 3). Compared with group 1, peak exercise workload, O2 consumption(Vo2), O2 pulse, aerobic efficiency (Delta Vo2/Delta WR), and ratio of brachialdiameter changes to flow changes (Delta D/Delta F) were reduced in group 2 and,to a greater extent, in group 3; exercise ventilation efficiency (Ve/Vco2 slope)and dead space-to-tidal volume ratio (Vd/Vt) were similar among groups. CV hadless effect on peak workload (+7% vs. +18%), peak Vo2 (+12% vs. +17%), O2 pulse(+33% vs. +50%), Delta Vo2/Delta WR (+7% vs. +12%), Ve/Vco2 slope (-6% vs. -12%),Delta D/Delta F (+7% vs. +10%), and breathlessness (Borg scale) in group 2 thanin group 1 and was ineffective in group 3. The antioxidant vitamin C, tested ineight additional patients in each cohort, improved flow-mediated dilation ingroups 1 and 2 before, but not after, CV and was ineffective in group 3,suggesting that the oxidative injury is least in lone AF, greater in hypertensionwith AF, and greater still in diabetes with AF. Comorbidities that impairendothelial activity worsen endothelial dysfunction and exercise intolerance inAF. The advantages of CV appear to be inversely related to the extent of theunderlying oxidative injury. ",no,old
 Diabetes mellitus and atrial fibrillation: perspectives on epidemiological andpathophysiological links. ," Atrial fibrillation (AF) is the most common sustained cardiac arrhythmia, whichis also associated with a substantial risk of mortality and morbidity fromstroke, thromboembolism, heart failure and hospitalisations. On a epidemiologicalbasis, diabetes mellitus is commonly associated with AF. Nonetheless, AF is alsoassociated with vascular disease and hypertension, which are themselvesintimately linked to diabetes. Indeed, the precise pathophysiological andclinical relationships between AF and diabetes mellitus are not completelyunderstood. What we do know is that both diabetes and AF are individually bad forour patients, and the presence of both requires aggressive management strategies. ",no,old
 Atrial fibrillation and its association with type 2 diabetes and hypertension ina Swedish community. ," AIM: To explore the prevalence of atrial fibrillation in patients withhypertension and type 2 diabetes and to identify possible mechanisms for thedevelopment of atrial fibrillation. METHODS: A community-based, cross-sectionalobservational study was conducted in the primary health care in Skara, Sweden,and 1739 subjects (798 men, 941 women) were surveyed. Patients were categorizedas those with hypertension only (n = 597); those with both hypertension and type2 diabetes (n = 171), and those with type 2 diabetes only (n = 147). In thereference population, 824 normotensive subjects without diabetes were identifiedand used as controls. Participants were examined for cardiovascular risk factorsincluding fasting blood glucose, serum insulin, blood pressure, lipids andanthropometric measures. Resting electrocardiogram (ECG) was recorded andMinnesota-coded. Insulin resistance was measured by the homeostasis modelassessment (HOMA). RESULTS: Age-adjusted prevalence of atrial fibrillation was 2%in patients with hypertension only, 6% in patients with both hypertension andtype 2 diabetes, 4% in patients with type 2 diabetes only and 2% in controls,respectively. Age and sex adjusted odds ratios (OR) (95% CI) were; hypertension0.7 (0.30-1.5), combined hypertension and type 2 diabetes 3.3 (1.6-6.7), and type2 diabetes 2.0 (0.9-4.7). The association with combined hypertension and type 2diabetes remained significant when adjusted for cardiovascular disease (CVD) riskfactors and body mass index (BMI), was attenuated with adjustment for ischemicECG; 2.4 (1.1-5.0) and lost significance with adjustment for insulin resistance;1.3 (0.5-3.1). CONCLUSIONS: Atrial fibrillation is associated with the combinedoccurrence of type 2 diabetes and hypertension. Insulin resistance may be acommon underlying mechanism. ",no,old
 Diabetes influences the cardiac symptoms related to atrial fibrillation. ," It is well known that diabetes mellitus (DM) masks the cardiac symptoms during anischemic heart attack, but there have not been reports of whether DM influencesthe subjective symptoms of atrial fibrillation (AF). The present studyretrospectively assessed 65 patients who were revealed to be in sinus rhythm attheir first visit to hospital and who had experienced episodes of AF (orparoxysmal AF) during the follow-up period. Compared with non-DM cases (n=50), DMpatients (n=15) had a tendency to a more rapid heart rate in sinus rhythm (73+/-4vs 66+/-2, p=0.07) and higher averaged ventricular response at the first-recordedepisode of AF (111+/-7 vs 99+/-3, p=0.10). However, the ratio of symptomaticcases at first-recorded AF tended to be lower in DM cases (33% vs 58%, p=0.08).When patients with beta-blockers or other antiarrhythmic agents were excluded,the ratio of symptomatic patients at first-recorded AF was significantly lower inthe DM cases (25% vs 61%, p=0.04), although there was not a significantdifference in averaged ventricular response at first-recorded AF (112+/-8 vs106+/-5). The prevalence of DM neuropathy was significantly higher inasymptomatic patients (70% vs 0%, p=0.01). DM may mask the cardiac symptoms ofthe first-recorded episode of AF, possibly because of DM neuropathy. ",no,old
 Evaluation of the association between diabetic retinopathy and the incidence ofatrial fibrillation: A nationwide population-based study. ," BACKGROUND: Atrial fibrillation (AF) is prevalent among type 2 diabetic patients.However, the association between diabetic retinopathy (DR) and AF iscontroversial. METHODS: We included 40,500 patients with type 2 diabetes(>/=40years, mean age 62+/-11years, 53% men) without AF from the Korean NationalInsurance Service-National Sample Cohort (2002-2007). Subjects were classifiedwithout DR (non-DR, n=30,178), with DR (DR, n=8920), and with proliferative DR(PDR, n=1402). RESULTS: During a mean 5.9-year follow-up, 1261 (3.1%) patientswere newly diagnosed as having AF (4.9, 6.0, and 8.3 per 1000 person-years in thenon-DR, DR, and PDR groups, respectively). In multivariate Cox proportionalhazard models, patients in the DR and PDR groups had a significantly higher riskof AF than those in the non-DR group (DR group: hazard ratio [HR] 1.14, 95%confidence interval [CI] 1.00-1.30; PDR group: HR 1.46, 95% CI 1.13-1.87); p fortrend <0.001). The risk of AF increased in patients with DR and end-stage renaldisease (ESRD) (HR 2.39, 95% CI 1.31-3.96, p<0.001) and in those with PDR andESRD (HR 3.59, 95% CI 1.96-5.97, p<0.001) compared to those without DR and ESRD.CONCLUSIONS: The presence and severity of DR was significantly associated withthe incidence of AF. Also, the presence of ESRD had an impact on the incidence ofAF in patients with DR. ",yes,old
 Impact of type 2 diabetes mellitus in hospitalizations for atrial fibrillation inSpain (2004-2013). ," BACKGROUND: To describe trends in the incidence and outcomes for atrialfibrillation (AF) in patients with and without type 2 diabetes (T2DM) in Spainbetween 2004 and 2013. METHODS: We used national hospital discharge data toselect all patients discharged from hospital after AF. We focused our analysis onpatients with AF in the primary diagnosis field. Discharges were grouped bydiabetes status (diabetic or non-diabetic). Incidence was calculated overall andstratified by diabetes status. We analyzed diagnostic and therapeutic procedures,patient comorbidities, CHA2DS2-VASc score, length of hospital stay andin-hospital mortality (IHM). RESULTS: We identified a total of 214,457 admissionsfor AF (21.1% with T2DM). The incidence was higher among people with T2DM. Womenwith T2DM have significant higher incidence than men in all years studied. T2DMwas positively associated with AF hospitalization (IRR 3.76, 95%CI 3.72-3.80).T2DM patients were significantly older than patients without diabetes, had morecomorbidity and had higher values of CHA2DS2-VASc score. Prevalence ofdyslipidemia and hypertension were almost 50% higher and prevalence of obesitywas two times higher (all p values<0.05). Diabetes was not associated with ahigher IHM (OR: 0.99, 95%CI 0.93-1.06). For the entire sample, time trendanalyses showed a significant decrease in mortality in patients admitted for AF(OR: 0.98, 95%CI 0.97-0.99). CONCLUSIONS: Incidence rates were higher in T2DMpatients. Women with T2DM have significant higher incidence rates than men. Thepresence of diabetes is not associated with a higher IHM during admission for AF. ",yes,old
 Diabetes mellitus is an independent risk factor for atrial fibrillation in ageneral Chinese population. ," AIMS/INTRODUCTION: To explore the association between atrial fibrillation (AF)and diabetes mellitus in a general Chinese population, and the influence ofhypertension. MATERIALS AND METHODS: From January 2013 to August 2013, we carriedout a cross-sectional study involving 11,956 permanent residents aged >/=35 yearsfrom the general population in the Liaoning province of China (response rate85.3%). Each participant completed a questionnaire, had a physical examination,and underwent an electrocardiogram and echocardiogram. AF was diagnosed on thebasis of the electrocardiogram findings. Logistic regression analyses werecarried out to estimate the associations between diabetes mellitus and AF. Theassociations were also analyzed in hypertensive and normotensive subgroups.RESULTS: There was a higher prevalence of AF in participants with diabetesmellitus than those without diabetes mellitus (1.2 vs 0.5%; P = 0.004). In thehypertensive subgroup, the prevalence of AF in participants with diabetesmellitus was significantly higher than in participants without diabetes mellitus(1.5 vs 0.6%; P = 0.008); however, the prevalences were similar in thenormotensive subgroup (0.3 vs 0.4%; P = 1.000). Similar trends were present inboth men and women. After adjustment for cardiovascular risk factors, theindependent association between diabetes mellitus and AF remained in the totalsample (odds ratio 2.33, 95% confidence interval 1.20-4.54) and hypertensivesubgroup (odds ratio 3.15, 95% confidence interval 1.52-6.56), but not in thenormotensive subgroup (odds ratio 0.64, 95% confidence interval 0.08-5.31).CONCLUSIONS: Diabetes mellitus is an independent risk factor for AF in thegeneral population in China, this association was present in total andhypertensive participants, but not in normotensive participants. ",yes,old
 Diabetes and new-onset atrial fibrillation in a hypertensive population. ," AIM: The association of diabetes with new-onset atrial fibrillation (AF) remainscontroversial. Hypertension may partly explain the risk association ascribed todiabetes. We studied the role and characteristics of diabetes in hypertensivepatients with no ischemic vascular disease. METHODS: Records of 262,892 personsfrom the Information System for the Development of Research in Primary Care inCatalonia (Spain) were examined from July 2006 to December 2011. Includedparticipants were >/=55-years-old and hypertensive with no ischemic heartdisease, stroke, or peripheral artery disease. We used Cox proportional hazardsregression to model incidences in the diabetic and non-diabetic subgroups of ourpopulation, and among diabetic patients, diabetes duration and pharmacologicaltreatment, hemoglobin A1C, and body mass index. RESULTS: New-onset AF incidencein diabetic patients was 13.3 per 1000 person-years (mean follow-up: 4.3 years).In non-diabetic patients, it was 10.4 per 1000 person-years (mean follow-up: 4.1years). Diabetes hazard ratio (HR) for new-onset AF was 1.11 (95% confidenceinterval (CI): 1.06-1.16). Diabetic patients also diagnosed with obesity had anHR of 1.41 (95% CI: 1.22-1.64). CONCLUSION: Diabetes was modestly associated withnew-onset AF in hypertensive patients with no ischemic vascular disease. Amongdiabetic patients, only obesity reached significance in its association with thisarrhythmia. ",yes,old
